Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,8,SCALAR,0.100000
Uniform,PDF,8,VECTORIZED,0.000000
Uniform,PDF,8,PARALLEL,0.000000
Uniform,PDF,8,WORK_STEALING,0.100000
Uniform,LogPDF,8,SCALAR,0.200000
Uniform,LogPDF,8,VECTORIZED,0.000000
Uniform,LogPDF,8,PARALLEL,0.100000
Uniform,LogPDF,8,WORK_STEALING,0.100000
Uniform,CDF,8,SCALAR,0.100000
Uniform,CDF,8,VECTORIZED,0.100000
Uniform,CDF,8,PARALLEL,0.100000
Uniform,CDF,8,WORK_STEALING,0.100000
Uniform,PDF,16,SCALAR,0.300000
Uniform,PDF,16,VECTORIZED,0.100000
Uniform,PDF,16,PARALLEL,0.100000
Uniform,PDF,16,WORK_STEALING,0.100000
Uniform,LogPDF,16,SCALAR,0.300000
Uniform,LogPDF,16,VECTORIZED,0.100000
Uniform,LogPDF,16,PARALLEL,0.100000
Uniform,LogPDF,16,WORK_STEALING,0.100000
Uniform,CDF,16,SCALAR,0.300000
Uniform,CDF,16,VECTORIZED,0.100000
Uniform,CDF,16,PARALLEL,0.100000
Uniform,CDF,16,WORK_STEALING,0.100000
Uniform,PDF,32,SCALAR,0.600000
Uniform,PDF,32,VECTORIZED,0.100000
Uniform,PDF,32,PARALLEL,0.100000
Uniform,PDF,32,WORK_STEALING,0.100000
Uniform,LogPDF,32,SCALAR,0.600000
Uniform,LogPDF,32,VECTORIZED,0.100000
Uniform,LogPDF,32,PARALLEL,0.200000
Uniform,LogPDF,32,WORK_STEALING,0.100000
Uniform,CDF,32,SCALAR,0.500000
Uniform,CDF,32,VECTORIZED,0.100000
Uniform,CDF,32,PARALLEL,0.100000
Uniform,CDF,32,WORK_STEALING,0.100000
Uniform,PDF,64,SCALAR,0.700000
Uniform,PDF,64,VECTORIZED,0.100000
Uniform,PDF,64,PARALLEL,0.100000
Uniform,PDF,64,WORK_STEALING,0.100000
Uniform,LogPDF,64,SCALAR,0.600000
Uniform,LogPDF,64,VECTORIZED,0.100000
Uniform,LogPDF,64,PARALLEL,0.100000
Uniform,LogPDF,64,WORK_STEALING,0.100000
Uniform,CDF,64,SCALAR,0.500000
Uniform,CDF,64,VECTORIZED,0.200000
Uniform,CDF,64,PARALLEL,0.100000
Uniform,CDF,64,WORK_STEALING,0.100000
Uniform,PDF,128,SCALAR,1.400000
Uniform,PDF,128,VECTORIZED,0.100000
Uniform,PDF,128,PARALLEL,0.200000
Uniform,PDF,128,WORK_STEALING,0.100000
Uniform,LogPDF,128,SCALAR,1.200000
Uniform,LogPDF,128,VECTORIZED,0.100000
Uniform,LogPDF,128,PARALLEL,0.200000
Uniform,LogPDF,128,WORK_STEALING,0.100000
Uniform,CDF,128,SCALAR,1.200000
Uniform,CDF,128,VECTORIZED,0.200000
Uniform,CDF,128,PARALLEL,0.200000
Uniform,CDF,128,WORK_STEALING,0.200000
Uniform,PDF,256,SCALAR,2.700000
Uniform,PDF,256,VECTORIZED,0.300000
Uniform,PDF,256,PARALLEL,0.200000
Uniform,PDF,256,WORK_STEALING,0.200000
Uniform,LogPDF,256,SCALAR,2.500000
Uniform,LogPDF,256,VECTORIZED,0.200000
Uniform,LogPDF,256,PARALLEL,0.200000
Uniform,LogPDF,256,WORK_STEALING,0.300000
Uniform,CDF,256,SCALAR,2.100000
Uniform,CDF,256,VECTORIZED,0.400000
Uniform,CDF,256,PARALLEL,0.300000
Uniform,CDF,256,WORK_STEALING,0.300000
Uniform,PDF,512,SCALAR,5.400000
Uniform,PDF,512,VECTORIZED,0.500000
Uniform,PDF,512,PARALLEL,0.500000
Uniform,PDF,512,WORK_STEALING,0.400000
Uniform,LogPDF,512,SCALAR,4.900000
Uniform,LogPDF,512,VECTORIZED,0.400000
Uniform,LogPDF,512,PARALLEL,0.500000
Uniform,LogPDF,512,WORK_STEALING,0.500000
Uniform,CDF,512,SCALAR,4.400000
Uniform,CDF,512,VECTORIZED,0.800000
Uniform,CDF,512,PARALLEL,0.500000
Uniform,CDF,512,WORK_STEALING,0.600000
Uniform,PDF,1000,SCALAR,10.700000
Uniform,PDF,1000,VECTORIZED,1.000000
Uniform,PDF,1000,PARALLEL,1.000000
Uniform,PDF,1000,WORK_STEALING,0.900000
Uniform,LogPDF,1000,SCALAR,9.600000
Uniform,LogPDF,1000,VECTORIZED,0.900000
Uniform,LogPDF,1000,PARALLEL,1.000000
Uniform,LogPDF,1000,WORK_STEALING,1.000000
Uniform,CDF,1000,SCALAR,8.400000
Uniform,CDF,1000,VECTORIZED,1.600000
Uniform,CDF,1000,PARALLEL,1.100000
Uniform,CDF,1000,WORK_STEALING,1.300000
Uniform,PDF,2000,SCALAR,21.500000
Uniform,PDF,2000,VECTORIZED,2.300000
Uniform,PDF,2000,PARALLEL,2.200000
Uniform,PDF,2000,WORK_STEALING,2.100000
